game_id;passing_quote;winner
11;72;No
11;91;Yes
12;82;Yes
12;86;No
13;82;Yes
13;79;No
14;79;No
14;77;Yes
15;85;No
15;77;No
16;87;Yes
16;75;No
17;88;Yes
17;78;No
18;74;Yes
18;77;No
19;87;Yes
19;78;No
21;86;Yes
21;81;No
22;77;Yes
22;73;No
23;78;No
23;77;Yes
24;65;No
24;76;No
25;69;No
25;84;Yes
26;86;No
26;57;Yes
27;83;No
27;89;Yes
28;67;No
28;75;No
29;88;Yes
29;82;No
31;83;No
31;69;No
32;91;Yes
32;71;No
33;76;Yes
33;86;No
34;70;Yes
34;71;No
35;59;No
35;72;No
36;87;Yes
36;84;No
37;73;No
37;88;Yes
38;87;No
38;75;No
39;71;No
39;85;Yes
41;87;No
41;86;No
42;85;Yes
42;80;No
43;80;No
43;83;Yes
44;78;Yes
44;83;No
45;73;No
45;83;Yes
46;78;No
46;71;Yes
47;69;No
47;69;No
48;73;Yes
48;79;No
49;76;No
49;87;No
51;87;Yes
51;80;No
52;88;Yes
52;78;No
53;87;Yes
53;77;No
54;78;No
54;73;Yes
55;80;No
55;83;Yes
56;72;Yes
56;79;No
57;73;Yes
57;76;No
58;91;Yes
58;75;No
59;82;No
59;75;No
61;82;No
61;78;Yes
62;84;Yes
62;79;No
63;82;No
63;87;Yes
64;81;No
64;88;Yes
65;72;No
65;65;Yes
66;77;Yes
66;80;No
67;78;No
67;88;No
68;70;Yes
68;79;No
69;75;Yes
69;73;No
71;82;No
71;74;No
72;87;Yes
72;70;No
73;89;No
73;60;No
74;76;No
74;80;Yes
75;86;Yes
75;75;No
76;77;No
76;76;Yes
77;92;Yes
77;81;No
78;91;Yes
78;71;No
79;80;Yes
79;77;No
81;87;Yes
81;80;No
82;76;No
82;84;Yes
83;82;Yes
83;73;No
84;80;No
84;87;Yes
85;84;No
85;80;Yes
86;78;No
86;66;Yes
87;80;No
87;87;Yes
88;82;Yes
88;74;No
89;85;No
89;80;Yes
91;63;No
91;67;No
92;91;Yes
92;84;No
93;85;Yes
93;85;No
94;85;Yes
94;78;No
95;77;Yes
95;83;No
96;89;No
96;66;Yes
97;88;Yes
97;82;No
98;75;No
98;88;No
99;90;Yes
99;74;No
101;69;No
101;61;Yes
102;83;No
102;82;Yes
103;86;No
103;80;No
104;68;Yes
104;82;No
105;82;No
105;70;No
106;86;No
106;87;Yes
107;84;No
107;89;Yes
108;85;No
108;83;No
109;62;Yes
109;85;No
111;83;Yes
111;88;No
112;88;Yes
112;72;No
113;74;No
113;85;No
114;86;Yes
114;79;No
115;82;No
115;73;No
116;71;No
116;69;No
117;92;Yes
117;79;No
118;83;No
118;85;No
119;88;Yes
119;78;No
121;77;No
121;90;Yes
122;87;Yes
122;85;No
123;83;No
123;71;No
124;85;No
124;71;No
125;77;Yes
125;85;No
126;82;No
126;87;Yes
127;83;No
127;82;Yes
128;71;No
128;73;No
129;80;No
129;77;No
131;77;No
131;82;Yes
132;88;Yes
132;63;No
133;84;Yes
133;86;No
134;76;Yes
134;75;No
135;89;Yes
135;80;No
136;79;No
136;69;Yes
137;87;No
137;73;No
138;75;Yes
138;83;No
139;NA;NA
139;NA;NA
141;72;Yes
141;80;No
142;73;Yes
142;82;No
143;78;Yes
143;90;No
144;84;No
144;79;Yes
145;81;Yes
145;83;No
146;64;Yes
146;73;No
147;84;No
147;83;Yes
148;87;No
148;86;No
149;81;No
149;77;No
151;86;No
151;83;No
152;75;No
152;53;Yes
153;74;Yes
153;76;No
154;75;No
154;87;No
155;87;No
155;75;Yes
156;87;Yes
156;84;No
157;82;Yes
157;80;No
158;88;Yes
158;82;No
159;83;Yes
159;90;No
161;81;No
161;84;No
162;85;No
162;73;No
163;80;No
163;83;No
164;74;Yes
164;86;No
165;88;Yes
165;69;No
166;84;Yes
166;78;No
167;81;No
167;88;Yes
168;88;Yes
168;78;No
169;81;Yes
169;75;No
171;90;Yes
171;82;No
172;86;No
172;77;Yes
173;87;No
173;82;No
174;79;No
174;77;No
175;84;No
175;76;No
176;76;No
176;91;Yes
177;78;No
177;81;Yes
178;73;No
178;74;No
179;74;Yes
179;89;No
